code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages
159798,웨딩 언플렌드,,,,,[],[],[]
151746,스텝 시스터즈,,,,,[],[],[]
171512,디 오픈 하우스,,,,,[],[],[]
159156,배드 데이 포 더 컷,,,,,[],[],[]
157178,"나는 내일, 어제의 너와 만난다",1114,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,8.8,7.98,"[8.96, 8.46, 7.96, 7.89, 8.83]","[56, 44]","[12, 69, 12, 5, 2]"
182578,고스트버스터즈 라이즈,363,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,7.28,7.35,"[8.6, 7.25, 7.48, 7.07, 7.36]","[56, 44]","[1, 35, 33, 23, 7]"
152243,더 폴카 킹,,,,,[],[],[]
171037,밀라다,,,,,[],[],[]
194471,굿타임,,,,,[],[],[]
164939,어 배드 맘스 크리스마스,,,,,[],[],[]
124025,시간이탈자,1557,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,7.88,7.89,"[8.38, 7.92, 7.74, 7.78, 7.48]","[51, 49]","[5, 64, 20, 9, 3]"
125802,비밀은 없다,516,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.8,7.13,"[6.94, 6.91, 7.28, 7.04, 6.21]","[41, 59]","[3, 57, 27, 9, 4]"
144272,강도들,,,,,[],[],[]
129406,미쓰 와이프,1530,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,8.8,8.62,"[9.03, 8.67, 8.58, 8.65, 8.91]","[36, 64]","[6, 54, 20, 15, 5]"
144943,언더 워터,828,"이 영화는 20대 여성이 좋아하는 연출, 연기가 뛰어난 영화입니다.",8.35,8.12,"[8.16, 8.19, 8.26, 8.27, 8.7]","[48, 52]","[5, 61, 19, 11, 4]"
160115,머스탱 아일랜드,,,,,[],[],[]
40133,다이 하드 4.0,,,,,[],[],[]
149122,런던 하이스트,,,,,[],[],[]
144958,철의 심장을 가진 남자,6,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,6.2,8,"[0.0, 5.0, 5.0, 0.0, 8.0]","[83, 17]","[0, 17, 33, 0, 50]"
124205,스파이 게임,4,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,6.5,8,"[0.0, 0.0, 7.0, 6.5, 9.0]","[50, 50]","[0, 0, 25, 50, 25]"
158886,펀 맘 디너,,,,,[],[],[]
119966,쎄시봉,1567,이 영화는 20대 남성이 좋아하는 OST가 뛰어난 영화입니다.,8.07,7.84,"[8.16, 7.92, 7.77, 8.02, 8.34]","[43, 57]","[4, 47, 26, 15, 7]"
45921,차우,,,,,[],[],[]
97693,고령화 가족,,,,,[],[],[]
129051,성난 변호사,1423,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.48,8.49,"[8.77, 8.59, 8.16, 8.43, 8.34]","[51, 49]","[5, 59, 21, 10, 4]"
144188,도쿄 연애사건,1,"이 영화는 40대 남성이 좋아하는 스토리, 연출이 뛰어난 영화입니다.",0,10,"[0.0, 10.0, 0.0, 0.0, 0.0]","[100, 31]","[0, 100, 0, 0, 0]"
