old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
9047,Comedians in Cars Getting Coffee,2012-07-19,Series,"['코미디', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWjeAlM5RnrBQeUMqdatAQ0QBtrXiWEwzARMvOx3jEXwMeLV8Vs9kFxuCa9PmfizAEV4pbcmAdXljuW8mhPsV_yU5NcAJN6vmK47TuZJOA8cbbaLNDdTquoV034.jpg?r=280,11079
4112,Spinning Out,2020-01-01,Series,"['드라마', '스포츠']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVmt8unEYdSh4d1Kg_XUgfBqJz2MywZoIsldbh8hgNkpFVHIxDGpynFEbLX_OzedsS9m1O1kcQ_yI-tj7RtqE7bs9DY9a83lfp1ctYJcUCQdvQGP1ZnxButSTis.jpg?r=5b1,10350
8908,The Frankenstein Chronicles,2018-02-20,Series,"['범죄', '드라마', '판타지', '역사', '미스터리']",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY2fDapRhHaYEZVWs6KJ8Yx5HCWIg-4Uq0MAnHoeHRIHJq7FEu6NZ3bXEQ3_C13JE_aJNFOyq4cbb0xrBtEVA5_mAWm5PlWMncSNuk5bwb3WNBvAeLXCogxeqQU.jpg?r=c66,9977
4584,The Devil Next Door,2019-11-04,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX-_0vIrfQto1TI0AucyOYa_4Nf8Z-E2tmqAQf8Skn8EyqBVuKsQaHnylGUtHtyYmTgIPrpWcLAs8Am0HpMqAmrCmDw4jDlL5zmpnNpO9cp7M9MLBQ5eJPINf_A.jpg?r=da2,9813
3678,Freud,2020-03-23,Series,"['전기', '범죄', '역사', '스릴러']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRzjcXP3vHsXGaSKVLRrjjnDXQkdfPLNn778IOnKgGK-3z0SUvYpe7fixXxr7cO-Rjcufn9h3xhM2lkDm9vhfhtqWtba_XdKHS-5VtlRzszBtf0Z4W2EHa2SPzo.jpg?r=abf,9664
2310,Crime Scene  The Vanishing at the Cecil Hotel,2021-02-10,Series,"['다큐멘터리', '범죄', '미스터리']",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdydS7y4sXu6W6GbxvRQMj0ta9-K8LeMUu0HnHukJA9UXkCSGWr360IGNTJzoz83dhIwrpFbxuM77Gc6hB6_Xs0fAHG4xV-FaADadAamvN-drdK564vXlgL5cjA.jpg?r=e3d,9642
4888,Inside Bills Brain  Decoding Bill Gates,2019-09-20,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcYzElDUmX0lrF0GrqzVaSyzApDIBgNb_ODVB02XtNZ-iGw86ELPnwrhbTkplkfUBkUBBJR5afz4Csi17ovrXrNPjjylucgbCOOXFcPKruMq470MRwg-jGofqVU.jpg?r=170,9130
6015,The Disappearance of Madeleine McCann,2019-03-15,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSQe4Xm1ikIQ8-IyaNcwdCqaB5umgVhfBrVjXiOQw6FJY1WNV_t2iti_jIDNiZKfpVYWKXhcdzfQsHr7jzvf2x8bw_n-eQiHk5WZcGv0KlX8JtbSBO5pDAtuxho.jpg?r=0f0,8517
3828,The Trials of Gabriel Fernandez,2020-02-26,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaHTQ2rbancG9i4dcacRv-w8rQNi-wJqfDu_jGM4k6pQ5vAZ4rLmhIEsjPcJGDK578scb2wAnquQnzskKSrpmfpk83eHeQCFZN-cb05QWG5rz8ufHl9KC_fqZv0.jpg?r=a73,8201
3483,Too Hot to Handle,2020-04-17,Series,"['게임쇼', '리얼리티', '로맨스']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWHIRwbqBolY3RAeNMvBtqo7ffXTrv813DOYJfQhLqiP1vxunzOzxAa9-EvO1pWeBm4p42DGAWa4YRLxEKqDhz6sRSyK6Axts6OmZ16Ab9hCiq6rYMgCB2AOKPM.jpg?r=935,7724
