,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
153,154508.0,2.02,4.49,2.53,5.64,2.49,5.55,2.6,5.78,2.48,5.52
154,168405.0,2.17,4.83,2.17,4.83,2.59,5.77,2.49,5.54,2.38,5.29
155,159805.0,1.58,2.09,2.89,3.83,3.13,4.14,2.93,3.88,3.02,4.01
156,187366.0,0.0,0.0,2.14,5.77,2.14,5.77,2.16,5.83,1.89,5.11
157,188874.0,,,,,,,,,,
158,189260.0,2.92,3.58,3.31,4.05,3.05,3.73,3.15,3.85,3.69,4.51
159,56447.0,,,,,,,,,,
160,182049.0,,,,,,,,,,
161,193974.0,,,,,,,,,,
162,191940.0,,,,,,,,,,
163,187548.0,,,,,,,,,,
164,188469.0,,,,,,,,,,
165,164936.0,,,,,,,,,,
166,193870.0,,,,,,,,,,
167,140656.0,0.0,0.0,3.98,3.52,4.41,3.92,4.41,3.92,3.01,2.66
168,208974.0,,,,,,,,,,
169,130708.0,,,,,,,,,,
170,196978.0,,,,,,,,,,
171,196808.0,,,,,,,,,,
172,197281.0,,,,,,,,,,
173,170860.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.92,0.0,0.0
174,192141.0,,,,,,,,,,
175,168045.0,0.0,0.0,3.75,4.77,3.92,4.98,3.89,4.96,3.78,4.81
176,182360.0,3.35,6.51,3.23,6.28,3.2,6.22,3.09,5.99,3.13,6.07
177,96951.0,5.11,2.75,4.26,2.3,4.42,2.38,4.63,2.5,4.73,2.55
178,181381.0,5.08,4.16,4.83,3.95,4.85,3.97,4.86,3.97,4.77,3.91
179,179482.0,2.71,6.98,2.61,6.72,2.51,6.45,2.48,6.39,2.44,6.28
180,185838.0,5.15,4.05,4.58,3.6,4.41,3.47,4.26,3.35,4.36,3.42
181,178544.0,3.91,4.24,3.63,3.94,3.9,4.23,3.86,4.19,3.98,4.31
182,196570.0,0.0,0.0,10.0,2.7,0.0,0.0,9.0,2.43,0.0,0.0
183,195590.0,,,,,,,,,,
184,155399.0,,,,,,,,,,
185,195417.0,,,,,,,,,,
186,195982.0,,,,,,,,,,
187,180390.0,4.37,3.73,4.71,4.01,4.56,3.89,4.32,3.68,4.7,4.01
188,165828.0,,,,,,,,,,
189,178526.0,4.88,4.68,4.65,4.46,4.58,4.41,4.63,4.44,4.55,4.37
190,154029.0,4.1,5.9,3.58,5.15,3.71,5.34,3.66,5.26,3.87,5.57
191,189000.0,4.41,4.41,4.53,4.53,4.5,4.5,4.41,4.41,4.17,4.17
192,181703.0,,,,,,,,,,
193,76960.0,0.0,0.0,5.91,2.66,5.98,2.68,6.07,2.72,5.38,2.41
194,196380.0,,,,,,,,,,
195,193686.0,,,,,,,,,,
196,184520.0,,,,,,,,,,
197,194884.0,,,,,,,,,,
198,186614.0,,,,,,,,,,
199,107072.0,,,,,,,,,,
200,195431.0,,,,,,,,,,
201,92001.0,,,,,,,,,,
202,193173.0,,,,,,,,,,
203,186613.0,3.06,6.2,3.06,6.21,2.95,6.0,2.95,5.99,3.0,6.09
204,102802.0,,,,,,,,,,
205,172789.0,,,,,,,,,,
206,212271.0,,,,,,,,,,
207,192480.0,,,,,,,,,,
208,74902.0,,,,,,,,,,
209,187349.0,4.48,3.52,4.48,3.52,4.28,3.37,4.35,3.41,4.55,3.58
210,188057.0,,,,,,,,,,
211,195092.0,,,,,,,,,,
212,183110.0,2.8,2.03,4.54,3.28,4.81,3.48,5.12,3.7,4.36,3.16
213,179719.0,,,,,,,,,,
214,186611.0,,,,,,,,,,
215,194321.0,,,,,,,,,,
216,209442.0,,,,,,,,,,
217,85578.0,1.62,1.68,2.98,3.1,2.84,2.95,3.11,3.23,3.29,3.42
218,174807.0,4.1,5.9,3.22,4.63,3.32,4.78,3.28,4.72,3.23,4.65
219,175365.0,0.0,0.0,1.58,6.75,1.43,6.09,1.47,6.27,0.0,0.0
220,177975.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.25,0.0,0.0
221,154986.0,0.0,0.0,3.87,5.13,2.87,3.8,0.0,0.0,0.0,0.0
222,202670.0,,,,,,,,,,
223,189961.0,,,,,,,,,,
224,193833.0,,,,,,,,,,
225,192486.0,,,,,,,,,,
226,201657.0,,,,,,,,,,
227,202535.0,,,,,,,,,,
228,177510.0,3.2,1.8,3.45,1.94,3.36,1.89,2.56,1.44,1.49,0.84
229,190447.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
230,203213.0,,,,,,,,,,
231,181046.0,2.0,8.0,1.87,7.46,1.4,5.6,0.0,0.0,0.0,0.0
232,159070.0,3.29,3.71,3.5,3.94,3.48,3.92,3.37,3.79,3.69,4.17
233,168508.0,,,,,,,,,,
234,174294.0,0.0,0.0,5.01,2.82,6.4,3.6,6.4,3.6,5.44,3.06
235,164104.0,1.54,8.08,1.55,8.14,1.49,7.85,1.56,8.19,1.28,6.72
236,198774.0,,,,,,,,,,
237,181541.0,,,,,,,,,,
238,63850.0,,,,,,,,,,
239,189537.0,3.27,2.09,4.1,2.62,4.39,2.81,4.47,2.86,4.99,3.19
240,197339.0,,,,,,,,,,
241,177374.0,3.8,5.48,3.75,5.4,3.74,5.37,3.76,5.4,3.78,5.43
242,169078.0,3.42,5.58,2.93,4.77,2.67,4.36,2.68,4.37,2.85,4.65
243,172795.0,,,,,,,,,,
244,181971.0,,,,,,,,,,
