,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
152,162148.0,0.0,0.0,14.85,40.15,4.86,13.14,2.43,6.57,4.86,13.14
153,154508.0,1.55,3.45,15.19,33.81,10.54,23.46,3.41,7.59,0.31,0.69
154,168405.0,2.48,5.52,17.36,38.64,3.1,6.9,6.82,15.18,1.24,2.76
155,159805.0,0.86,1.14,18.06,23.94,13.76,18.24,7.31,9.69,3.44,4.56
156,187366.0,0.0,0.0,1.62,4.38,19.71,53.29,5.4,14.6,0.0,0.0
157,188874.0,,,,,,,,,,
158,189260.0,2.25,2.75,22.5,27.5,10.35,12.65,6.75,8.25,2.7,3.3
159,56447.0,,,,,,,,,,
160,182049.0,,,,,,,,,,
161,193974.0,,,,,,,,,,
162,191940.0,,,,,,,,,,
163,187548.0,,,,,,,,,,
164,188469.0,,,,,,,,,,
165,164936.0,,,,,,,,,,
166,193870.0,,,,,,,,,,
167,140656.0,0.0,0.0,21.2,18.8,10.6,9.4,10.6,9.4,10.6,9.4
168,208974.0,,,,,,,,,,
169,130708.0,,,,,,,,,,
170,196978.0,,,,,,,,,,
171,196808.0,,,,,,,,,,
172,197281.0,,,,,,,,,,
173,170860.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0
174,192141.0,,,,,,,,,,
175,168045.0,0.0,0.0,13.2,16.8,17.6,22.4,5.72,7.28,7.48,9.52
176,182360.0,1.7,3.3,14.96,29.04,7.48,14.52,7.82,15.18,2.38,4.62
177,96951.0,0.0,0.0,27.3,14.7,21.45,11.55,11.7,6.3,4.55,2.45
178,181381.0,0.55,0.45,17.6,14.4,17.6,14.4,12.65,10.35,6.6,5.4
179,179482.0,1.12,2.88,12.6,32.4,8.68,22.32,4.2,10.8,1.68,4.32
180,185838.0,1.12,0.88,22.96,18.04,19.6,15.4,8.4,6.6,3.92,3.08
181,178544.0,1.92,2.08,19.2,20.8,13.44,14.56,9.6,10.4,3.84,4.16
182,196570.0,0.0,0.0,50.0,13.5,0.0,0.0,50.0,13.5,0.0,0.0
183,195590.0,,,,,,,,,,
184,155399.0,,,,,,,,,,
185,195417.0,,,,,,,,,,
186,195982.0,,,,,,,,,,
187,180390.0,1.08,0.92,23.22,19.78,15.66,13.34,9.72,8.28,4.32,3.68
188,165828.0,,,,,,,,,,
189,178526.0,1.53,1.47,19.38,18.62,13.77,13.23,11.22,10.78,4.59,4.41
190,154029.0,0.41,0.59,17.63,25.37,14.76,21.24,4.92,7.08,3.69,5.31
191,189000.0,2.0,2.0,23.0,23.0,14.5,14.5,6.0,6.0,4.5,4.5
