,code,korean_title,num_of_audience,scores_10s,score_20s,score_30s,score_40s,score_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
1580,25670,벨벳 골드마인,75.0,10.0,8.59,8.62,8.0,9.0,14,61,1,46,26,1,1
1581,98279,투와이스 본,4.0,0.0,9.67,1.0,0.0,0.0,2,2,0,3,1,0,0
1583,95334,사보타지,5.0,0.0,4.0,6.0,10.0,0.0,1,4,0,3,1,1,0
1591,107923,찌라시 : 위험한 소문,614.0,7.57,7.62,7.27,7.61,8.07,301,313,25,399,135,37,12
1593,102648,잭 라이언 : 코드네임 쉐도우,66.0,6.0,6.97,6.19,6.17,9.0,30,36,6,29,16,12,3
1594,119412,잭 리처: 네버 고 백,677.0,8.3,8.26,7.9,8.08,8.4,386,291,20,271,176,156,54
1595,12918,시애틀의 잠 못 이루는 밤,12.0,8.0,8.2,8.33,8.0,7.0,4,8,1,5,3,1,2
1606,31565,브리짓 존스의 일기,8.0,0.0,8.0,8.75,0.0,0.0,3,5,0,4,4,0,0
1611,76020,드래곤 길들이기 2,4605.0,9.35,8.92,8.76,8.66,8.91,1428,3177,230,875,2395,1059,46
1615,66464,벼랑 위의 포뇨,1.0,0.0,7.0,0.0,0.0,0.0,1,0,0,1,0,0,0
1618,78845,우리도 사랑일까,89.0,0.0,8.64,8.5,9.09,8.17,34,55,0,44,28,11,6
1620,31940,메멘토,101.0,9.33,9.11,9.12,7.83,9.0,45,56,9,64,16,6,6
1627,47321,"알로, 슈티",108.0,10.0,8.92,8.77,8.56,9.0,31,77,2,60,30,9,6
1629,96031,오직 사랑하는 이들만이 살아남는다,113.0,7.83,7.96,8.18,10.0,9.0,27,86,6,72,33,1,1
1637,64686,소셜 네트워크,5.0,0.0,8.0,9.0,10.0,0.0,2,3,0,2,2,1,0
1639,89757,쥬랜더 리턴즈,16.0,8.0,8.0,3.0,5.67,1.0,7,9,2,9,1,3,1
1643,74610,미드나잇 인 파리,139.0,8.25,9.12,8.93,8.43,9.33,54,85,8,95,26,7,3
1644,52515,인셉션,246.0,9.9,9.69,9.59,8.8,8.89,125,121,20,145,57,15,10
1646,169643,몬스터 호텔 3,2297.0,9.17,8.6,8.77,8.56,8.93,436,1861,23,92,1286,827,46
1659,150688,그린치,2007.0,8.66,8.9,8.51,8.34,8.72,442,1565,40,181,1104,642,40
1660,39809,밀리언 달러 베이비,7.0,8.0,8.5,10.0,0.0,0.0,5,2,1,4,2,0,0
1663,66091,벤자민 버튼의 시간은 거꾸로 간다,44.0,10.0,9.46,10.0,9.2,9.0,14,30,6,26,4,5,3
1665,82283,실버라이닝 플레이북,4.0,0.0,10.0,7.5,7.0,0.0,4,0,0,1,2,1,0
1666,62586,다크 나이트,46.0,9.88,9.68,9.62,9.0,9.0,32,14,8,22,13,1,2
1667,37439,배트맨 비긴즈,18.0,0.0,9.29,9.0,9.33,9.0,12,6,0,7,6,3,2
1674,85141,제로 다크 서티,2.0,0.0,8.0,9.0,0.0,0.0,2,0,0,1,1,0,0
1681,104426,19곰 테드 2,303.0,7.64,7.92,7.47,8.4,7.62,176,127,12,227,52,6,9
1701,97692,쿵푸팬더3,6918.0,9.22,8.91,8.76,8.67,8.66,2421,4497,208,1591,3113,1868,138
1702,123630,트랜스포머: 최후의 기사,2859.0,7.7,6.77,6.87,7.07,7.7,1801,1058,86,1287,915,515,86
1703,17159,포레스트 검프,120.0,9.67,9.42,9.66,9.57,10.0,55,65,6,67,32,14,1
1709,109193,드래곤 길들이기 3,1796.0,9.68,9.36,9.35,9.06,8.81,593,1203,72,539,557,593,54
1710,132626,슈퍼배드 3,7403.0,9.13,8.9,8.75,8.66,8.82,1851,5552,148,1333,3627,2221,74
1718,10002,빽 투 더 퓨쳐,49.0,10.0,9.23,9.78,9.62,8.0,22,27,1,30,9,8,1
1723,59075,본 얼티메이텀,36.0,8.0,8.67,8.0,8.5,9.0,21,15,1,15,8,10,2
1743,10003,빽 투 더 퓨쳐 2,31.0,0.0,9.5,9.75,10.0,0.0,16,15,0,14,16,1,0
1748,80219,팅커 테일러 솔저 스파이,36.0,0.0,9.0,8.22,7.4,8.33,17,19,0,10,18,5,3
1751,118966,스머프: 비밀의 숲,1267.0,9.33,8.81,8.6,8.59,8.69,279,988,0,51,773,418,13
1759,92069,론 서바이버,200.0,9.0,9.09,8.63,8.24,7.71,136,64,6,104,48,32,8
1760,142201,그 누구도 아닌,3.0,0.0,4.0,0.0,0.0,8.0,3,0,0,2,0,0,1
1763,76651,넛잡: 땅콩 도둑들,395.0,7.4,6.36,7.34,7.48,8.25,122,273,4,28,249,107,8
1770,100643,헝거게임 : 더 파이널,1175.0,8.63,7.89,7.61,7.71,7.91,517,658,82,693,200,153,47
1773,17173,가을의 전설,18.0,0.0,7.33,8.09,7.0,0.0,10,8,0,6,11,1,0
1776,37937,진주 귀걸이를 한 소녀,76.0,10.0,8.3,8.83,8.73,8.61,22,54,1,23,18,11,23
1779,49336,판의 미로 - 오필리아와 세 개의 열쇠,40.0,9.0,8.96,9.17,9.75,9.67,13,27,3,24,6,4,3
1799,87556,올드보이,16.0,0.0,7.0,5.67,0.0,0.0,11,5,0,7,9,0,0
1806,86843,케빈에 대하여,7.0,0.0,9.2,9.0,0.0,0.0,2,5,0,5,2,0,0
1807,52553,향수 - 어느 살인자의 이야기,66.0,9.33,9.16,8.79,8.33,7.5,27,39,3,44,14,3,2
1809,34225,워크 투 리멤버,3.0,10.0,9.5,0.0,0.0,0.0,1,2,1,2,0,0,0
1821,38227,첫 키스만 50번째,177.0,9.78,9.08,9.7,9.0,9.12,85,92,9,120,27,12,9
