,code,korean_title,num_of_audience,scores_10s,score_20s,score_30s,score_40s,score_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
771,138601,여배우는 오늘도,255.0,8.9,8.7,8.94,9.14,8.5,56,199,10,150,69,13,10
773,161850,아이 캔 스피크,4410.0,9.53,9.26,9.13,9.24,9.11,1632,2778,265,2293,926,662,265
775,130787,치외법권,347.0,7.5,7.37,6.8,6.84,8.64,198,149,17,191,69,56,10
798,100205,어쌔신: 더 비기닝,227.0,6.67,8.39,8.14,6.97,7.95,129,98,2,100,73,30,20
806,127378,아이스 에이지: 지구 대충돌,1593.0,7.33,8.03,8.0,8.18,8.29,350,1243,0,143,956,446,16
815,144130,서버비콘,41.0,0.0,7.71,8.54,8.88,7.33,11,30,0,17,13,8,3
816,154273,에스코바르,16.0,0.0,9.33,8.88,7.33,8.5,14,2,0,3,8,3,2
820,85579,신과함께-죄와 벌,26297.0,9.09,8.76,8.66,8.73,8.44,11834,14463,1315,11834,6574,4996,1315
823,116233,패신저스,1225.0,7.97,8.13,8.07,7.77,7.82,698,527,37,637,257,208,86
835,162854,바르다가 사랑한 얼굴들,288.0,9.5,8.95,8.71,9.21,9.18,84,204,3,118,98,29,40
837,166463,맨헌트,6.0,0.0,9.0,6.0,8.5,0.0,6,0,0,1,1,4,0
843,163832,"괜찮아요, 미스터 브래드",63.0,0.0,8.92,8.0,8.22,7.67,16,47,0,24,24,9,6
845,44911,무뢰한,432.0,6.89,7.35,7.42,6.6,7.84,177,255,9,229,125,48,17
848,140647,위자 : 저주의 시작,460.0,8.22,7.67,7.16,7.88,8.42,248,212,69,313,46,23,14
851,153651,염력,852.0,4.47,6.11,6.28,6.08,6.98,443,409,17,332,247,204,51
859,164719,플로리다 프로젝트,372.0,8.3,8.9,8.9,9.2,9.38,119,253,11,208,123,19,7
862,152694,킬링 디어,203.0,8.86,8.4,8.29,7.58,7.7,83,120,6,104,69,12,10
865,152646,시체들의 새벽: 컨테이젼,1.0,0.0,8.0,0.0,0.0,0.0,1,0,0,1,0,0,0
875,163824,파라독스,1.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,1,0,0
878,144944,맨 인 더 다크,2590.0,8.78,8.48,8.2,7.71,8.6,1528,1062,104,1968,337,104,52
880,156565,이 세상의 한구석에,6.0,10.0,8.0,0.0,9.0,0.0,4,2,1,4,0,1,0
882,188909,강철비2: 정상회담,975.0,8.0,7.66,7.81,8.34,8.54,575,400,29,332,302,224,98
884,143409,녹터널 애니멀스,410.0,10.0,8.54,8.29,7.61,8.12,131,279,0,201,148,37,25
888,154206,콜럼버스,49.0,0.0,8.12,7.41,9.2,3.0,14,35,0,26,17,5,1
890,153964,목소리의 형태,924.0,9.2,8.63,8.52,8.69,8.75,610,314,194,517,83,102,28
891,144379,러빙 빈센트,4011.0,9.4,9.24,9.14,9.07,9.05,1243,2768,120,1885,1043,562,401
892,127374,킹 아서: 제왕의 검,451.0,7.5,8.26,7.88,8.09,8.37,289,162,9,216,135,72,18
898,137890,살인자의 기억법,3366.0,8.44,8.32,7.86,8.03,8.0,1818,1548,135,1885,842,370,101
901,155256,악녀,1655.0,8.7,7.84,7.79,7.73,7.87,993,662,17,910,480,199,50
906,168551,뉴니스,49.0,0.0,8.24,8.25,8.33,9.0,16,33,0,25,20,3,1
912,157178,"나는 내일, 어제의 너와 만난다",1114.0,8.96,8.46,7.96,7.89,8.83,624,490,134,769,134,56,22
913,182578,고스트버스터즈 라이즈,363.0,8.6,7.25,7.48,7.07,7.36,203,160,4,127,120,83,25
918,124025,시간이탈자,1557.0,8.38,7.92,7.74,7.78,7.48,794,763,78,996,311,140,47
919,125802,비밀은 없다,516.0,6.94,6.91,7.28,7.04,6.21,212,304,15,294,139,46,21
921,129406,미쓰 와이프,1530.0,9.03,8.67,8.58,8.65,8.91,551,979,92,826,306,230,76
922,144943,언더 워터,828.0,8.16,8.19,8.26,8.27,8.7,397,431,41,505,157,91,33
926,144958,철의 심장을 가진 남자,6.0,0.0,5.0,5.0,0.0,8.0,5,1,0,1,2,0,3
927,124205,스파이 게임,4.0,0.0,0.0,7.0,6.5,9.0,2,2,0,0,1,2,1
929,119966,쎄시봉,1567.0,8.16,7.92,7.77,8.02,8.34,674,893,63,736,407,235,110
932,129051,성난 변호사,1423.0,8.77,8.59,8.16,8.43,8.34,726,697,71,840,299,142,57
933,144188,도쿄 연애사건,1.0,0.0,10.0,0.0,0.0,0.0,1,0,0,1,0,0,0
934,106522,우아한 거짓말,807.0,8.55,8.18,8.14,8.27,8.72,315,492,73,404,169,145,16
936,107374,나를 잊지 말아요,681.0,6.27,6.76,6.77,6.78,6.33,293,388,34,354,184,82,34
937,149027,이탈리안 레이스,1.0,0.0,0.0,0.0,10.0,0.0,1,0,0,0,0,1,0
938,124041,차이나타운,1707.0,8.04,7.7,7.35,7.3,7.6,854,854,51,990,427,188,68
939,142242,이웃집에 신이 산다,591.0,7.74,7.18,7.92,6.97,7.75,266,325,30,431,89,30,18
940,115366,도희야,80.0,7.33,7.09,7.53,8.57,6.0,27,53,3,47,19,7,4
942,127397,콩: 스컬 아일랜드,2782.0,8.49,8.31,7.99,7.98,8.19,1697,1085,28,1141,807,696,111
943,103760,강남 1970,3020.0,7.95,7.63,7.63,8.28,8.09,1570,1450,30,1480,876,453,151
944,132627,레고 배트맨 무비,383.0,9.67,8.67,8.71,8.65,8.62,123,260,8,61,184,123,8
945,151751,로건 럭키,27.0,0.0,8.08,8.83,8.67,0.0,14,13,0,12,12,3,0
951,121052,넛잡 2,608.0,7.25,8.34,8.8,8.38,6.75,140,468,6,36,383,182,6
952,140064,샷 콜러,6.0,0.0,9.0,9.0,8.0,0.0,3,3,0,3,2,1,0
953,165791,더 포리너,4.0,0.0,10.0,9.0,0.0,0.0,1,3,0,2,2,0,0
964,150198,너의 이름은.,11225.0,9.49,9.05,8.8,8.86,8.75,6062,5164,1122,6174,1796,1796,337
968,167103,몬스터 섬의 비밀,59.0,9.0,7.0,8.38,8.11,0.0,13,46,1,4,45,9,0
969,191597,보스 베이비 2,534.0,8.62,9.06,9.02,9.1,9.62,256,278,5,166,198,123,37
970,146517,프리즌,4603.0,8.18,8.35,8.1,8.16,8.17,2670,1933,46,2532,1105,598,276
974,158910,예수는 역사다,338.0,9.5,8.86,9.09,8.97,9.29,135,203,7,112,101,64,54
975,137875,해빙,2008.0,6.28,6.65,6.71,6.61,6.57,984,1024,100,1265,361,221,60
980,151715,오직 사랑뿐,50.0,0.0,8.31,8.8,8.54,8.67,13,37,0,16,15,13,6
982,142251,원스 어폰 어 타임 인 베니스,6.0,0.0,6.0,10.0,4.0,0.0,2,4,0,3,2,1,0
983,159785,플랜비,3.0,0.0,6.5,4.0,0.0,0.0,2,1,0,2,1,0,0
988,146485,특별시민,2255.0,7.48,7.72,7.77,7.7,8.05,1308,947,45,1218,519,293,158
991,142803,형,4001.0,9.32,8.99,8.56,8.85,9.01,1720,2281,320,2201,720,600,120
992,44913,아수라,6219.0,6.63,6.42,6.69,6.73,6.88,3794,2425,187,3545,1555,622,249
993,123519,아가씨,9457.0,7.97,7.86,7.47,7.18,7.36,3972,5485,284,5769,2175,946,378
994,154214,시간위의 집,287.0,7.6,8.42,8.15,8.49,8.5,126,161,6,161,77,34,9
995,115504,탐정 홍길동: 사라진 마을,2334.0,8.73,8.27,8.06,8.27,7.77,980,1354,140,1354,467,303,70
996,140695,럭키,12347.0,9.34,8.94,8.54,8.41,8.44,6297,6050,494,6667,2840,1852,494
998,168092,롱 샷,218.0,8.0,8.98,8.79,8.76,8.77,94,124,2,94,68,28,26
1000,153342,더 바,5.0,0.0,9.33,7.0,0.0,0.0,2,3,0,3,2,0,0
1003,115642,신비한 동물사전,9036.0,9.05,8.77,8.43,8.42,8.31,4247,4789,542,5964,1355,904,181
1007,115520,극적인 하룻밤,298.0,8.4,7.44,7.62,7.67,7.3,137,161,6,226,39,18,9
1008,139698,리틀드래곤 코코넛,63.0,0.0,8.78,8.13,7.5,0.0,9,54,0,9,52,2,0
1009,146386,업 포 러브,56.0,9.33,8.66,8.69,9.67,8.8,27,29,3,32,13,3,5
1011,122195,서울역,379.0,5.68,5.13,5.22,5.6,7.0,182,197,23,235,64,53,8
1017,127375,더 셰프,289.0,8.33,7.81,7.89,8.28,8.42,142,147,9,188,55,26,12
1018,144221,퍼스널 쇼퍼,111.0,9.0,7.65,7.47,7.77,6.91,37,74,2,49,36,13,11
1021,100647,히말라야,12369.0,8.73,8.63,8.66,8.75,8.77,5690,6679,618,5442,3092,2474,866
1022,118955,월요일이 사라졌다,36.0,7.0,8.5,8.67,8.33,8.5,20,16,1,12,15,6,2
1023,134859,어카운턴트,113.0,9.5,8.42,7.65,7.96,7.56,79,34,5,55,20,25,9
1027,125444,제5침공,271.0,6.93,6.92,6.52,5.6,6.0,152,119,16,114,62,68,14
1029,144938,씽,5002.0,8.97,9.11,8.95,9.0,8.87,1200,3802,100,850,2851,1150,50
1033,154461,제인 도,134.0,10.0,8.48,7.75,8.67,8.33,72,62,1,98,28,3,3
1034,127322,폴링 스노우,8.0,0.0,7.0,9.5,7.0,8.5,3,5,0,2,2,2,2
1044,156465,밤의 해변에서 혼자,618.0,9.5,7.66,7.61,8.05,7.04,216,402,0,309,192,62,49
1047,144355,감바의 대모험,227.0,10.0,9.08,8.81,8.89,0.0,54,173,0,14,150,64,0
1051,143435,옥자,11030.0,9.04,8.84,8.72,8.61,8.54,4191,6839,331,5956,3199,1213,331
1055,143495,설리: 허드슨강의 기적,901.0,8.34,9.0,8.91,8.79,9.03,478,423,36,450,207,144,63
1056,144945,아기배달부 스토크,820.0,8.5,9.12,8.8,8.76,9.0,180,640,16,115,508,172,8
1057,157243,당갈,306.0,9.65,9.79,9.5,8.85,9.38,70,236,18,187,55,24,21
