,code,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
236,,,,,,
237,,,,,,
238,,,,,,
239,189537.0,0.21,2.69,2.52,1.03,0.57
240,,,,,,
241,177374.0,0.46,3.66,2.1,2.02,1.01
242,169078.0,0.36,3.31,1.83,1.2,0.75
243,,,,,,
244,,,,,,
245,186821.0,0.2,3.65,2.53,1.18,0.84
246,182355.0,0.18,3.75,2.67,1.63,0.52
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,190720.0,0.0,3.62,3.44,0.62,1.1
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,176306.0,0.09,2.84,3.39,1.48,0.67
262,74407.0,0.47,5.25,1.98,0.34,0.32
263,,,,,,
264,,,,,,
265,189712.0,0.0,0.0,5.0,0.0,0.0
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,177509.0,0.08,1.97,2.22,2.45,0.83
273,127858.0,0.37,4.73,2.25,1.37,0.0
274,,,,,,
275,39640.0,1.45,4.19,2.12,1.31,0.18
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,183876.0,0.17,3.29,2.68,1.93,0.59
282,,,,,,
283,185131.0,0.39,4.0,2.68,2.27,0.4
284,,,,,,
285,,,,,,
286,172113.0,0.99,5.2,1.19,1.35,0.36
287,175318.0,1.39,4.49,1.29,1.05,0.28
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,146534.0,0.1,2.77,3.1,2.49,1.05
293,165022.0,0.1,3.78,2.54,1.4,1.28
294,154419.0,0.1,4.09,2.39,0.8,0.54
295,,,,,,
296,,,,,,
297,,,,,,
298,182387.0,0.58,5.45,2.27,0.51,0.41
299,189053.0,0.1,4.19,2.47,1.31,0.68
300,190026.0,0.24,4.37,3.21,0.9,0.9
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,173653.0,0.1,2.66,3.34,2.84,0.88
306,179430.0,1.12,5.4,1.08,0.32,0.0
307,132946.0,0.1,3.7,2.91,1.72,0.29
308,,,,,,
309,130267.0,0.0,0.0,5.0,5.0,0.0
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,164172.0,0.55,4.6,1.83,1.36,0.52
316,180381.0,1.73,4.51,0.9,1.21,0.19
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,182205.0,0.18,4.18,2.68,1.09,0.4
322,175404.0,0.0,3.99,2.26,0.64,0.35
323,,,,,,
324,,,,,,
325,180374.0,0.19,1.54,3.96,3.13,0.26
326,177381.0,0.62,2.7,2.03,1.85,0.0
327,,,,,,
328,174797.0,0.0,3.85,2.7,1.52,1.14
329,189111.0,0.0,1.52,3.44,1.99,2.27
330,,,,,,
331,,,,,,
332,,,,,,
333,182014.0,0.12,5.01,1.99,0.47,0.14
334,188056.0,0.09,3.8,3.64,0.97,0.43
335,175316.0,0.16,2.85,2.74,2.11,0.51
336,164968.0,0.0,8.0,0.0,0.0,0.0
337,164155.0,0.29,2.74,2.32,2.16,0.37
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,154298.0,0.0,4.03,2.64,1.06,1.03
344,142266.0,0.4,3.35,1.08,1.68,1.14
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,179158.0,0.3,3.11,2.35,1.46,0.66
351,187526.0,0.1,2.59,2.78,1.81,1.03
352,,,,,,
353,,,,,,
354,,,,,,
355,142699.0,0.35,5.28,1.71,0.88,0.45
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,174301.0,0.18,4.58,3.24,0.89,0.26
365,,,,,,
366,150637.0,0.23,3.45,2.1,1.71,0.75
367,140696.0,0.37,3.52,1.63,0.88,0.21
368,181912.0,1.07,4.85,1.84,0.65,0.59
369,168086.0,0.0,0.28,4.56,3.67,0.0
370,,,,,,
371,,,,,,
372,,,,,,
373,171750.0,0.14,1.58,0.84,2.46,0.0
374,167374.0,0.28,3.92,3.04,0.32,0.72
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,162173.0,0.19,3.31,3.15,2.18,0.66
380,146506.0,0.29,2.85,1.9,1.69,0.54
381,121303.0,0.0,9.0,0.0,0.0,0.0
382,137008.0,0.23,2.19,1.08,0.7,0.27
383,154112.0,0.26,4.63,1.97,0.92,0.37
384,134895.0,0.44,3.65,1.85,1.81,0.5
385,144280.0,0.25,3.45,1.97,1.88,0.5
386,146469.0,0.38,4.21,2.39,1.74,0.55
387,127382.0,0.42,4.24,1.89,1.67,0.44
388,142384.0,0.28,3.82,2.17,1.94,0.62
389,146530.0,0.0,4.35,4.06,0.28,0.32
390,,,,,,
391,143473.0,0.46,5.49,1.49,0.95,0.25
392,142304.0,0.0,3.49,3.45,1.63,0.93
393,175040.0,0.27,2.64,4.77,0.3,1.08
394,,,,,,
395,174627.0,0.0,3.0,2.0,1.5,0.0
396,144266.0,0.17,3.65,2.18,1.37,0.64
397,,,,,,
398,,,,,,
399,,,,,,
400,154270.0,0.72,3.36,2.12,1.2,1.0
401,,,,,,
402,,,,,,
403,,,,,,
404,149059.0,0.2,3.63,2.84,1.33,0.34
405,164139.0,0.28,3.26,2.76,2.19,0.35
406,10922.0,0.16,6.09,2.18,0.53,0.16
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,146508.0,0.18,4.41,1.91,1.09,0.86
415,160721.0,0.49,6.67,1.33,0.17,0.09
416,141206.0,0.14,3.19,1.73,1.65,0.69
417,157974.0,0.2,2.63,2.27,2.17,0.0
418,63969.0,0.0,3.6,1.6,2.0,1.8
419,,,,,,
420,,,,,,
421,168298.0,0.28,5.26,2.31,0.78,0.26
422,,,,,,
423,140652.0,0.66,5.75,1.48,0.78,0.26
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,146524.0,0.35,4.57,1.78,1.15,0.41
431,153652.0,0.56,5.32,1.68,1.13,0.34
432,120165.0,0.16,4.49,1.9,1.18,0.58
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,167105.0,0.27,4.6,2.21,1.08,0.43
439,,,,,,
440,,,,,,
441,,,,,,
442,164173.0,0.42,3.33,1.56,1.09,0.67
443,165748.0,0.23,2.98,2.13,1.68,0.43
444,,,,,,
445,,,,,,
446,,,,,,
447,159716.0,0.0,6.29,2.0,0.5,0.0
448,164151.0,0.24,3.94,2.02,1.57,0.57
449,,,,,,
450,10101.0,2.5,2.5,4.75,0.0,0.0
451,148946.0,0.0,0.89,4.34,1.94,0.2
452,159877.0,0.11,2.48,1.89,1.41,0.47
453,155716.0,0.37,4.89,1.74,0.99,0.41
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,159848.0,0.18,3.68,2.27,1.03,1.54
463,159146.0,0.0,2.33,4.22,0.8,1.51
464,145292.0,0.55,6.38,1.11,0.5,0.26
465,,,,,,
466,167099.0,0.13,3.65,2.23,0.96,0.37
467,92125.0,0.3,2.89,2.57,1.95,1.38
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,144215.0,0.08,4.52,1.89,1.12,0.42
