PID,성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대
211601,남,26,사무직,18:00~20:59,18:00~20:59
211701,남,46,서비스/판매직,18:00~20:59,18:00~20:59
211801,여,28,주부,12:00~14:59,12:00~14:59
211901,여,63,서비스/판매직,15:00~17:59,15:00~17:59
212001,남,78,서비스/판매직,18:00~20:59,18:00~20:59
212101,남,22,서비스/판매직,18:00~20:59,18:00~20:59
212102,남,16,학생,21:00~23:59,21:00~23:59
212201,남,45,사무직,18:00~20:59,18:00~20:59
212202,여,42,사무직,21:00~23:59,21:00~23:59
212301,여,30,주부,15:00~17:59,15:00~17:59
212302,남,34,사무직,18:00~20:59,18:00~20:59
212401,여,59,사무직,18:00~20:59,18:00~20:59
212402,남,59,사무직,18:00~20:59,18:00~20:59
212501,남,34,서비스/판매직,15:00~17:59,15:00~17:59
212502,여,30,생산직,12:00~14:59,12:00~14:59
212603,여,34,사무직,이용하지 않음,21:00~23:59
212701,남,53,생산직,21:00~23:59,21:00~23:59
212702,여,53,서비스/판매직,이용하지 않음,21:00~23:59
212703,남,21,학생,21:00~23:59,이용하지 않음
212803,남,26,무직,12:00~14:59,12:00~14:59
212903,남,28,사무직,21:00~23:59,21:00~23:59
213001,남,55,서비스/판매직,이용하지 않음,21:00~23:59
213101,여,58,주부,12:00~14:59,이용하지 않음
213103,여,26,사무직,21:00~23:59,이용하지 않음
213301,남,48,사무직,15:00~17:59,이용하지 않음
213302,여,49,서비스/판매직,21:00~23:59,이용하지 않음
213303,남,23,학생,21:00~23:59,21:00~23:59
213601,여,48,사무직,이용하지 않음,12:00~14:59
213602,남,47,사무직,이용하지 않음,18:00~20:59
214801,여,48,주부,21:00~23:59,21:00~23:59
215001,여,53,서비스/판매직,18:00~20:59,18:00~20:59
215401,여,48,주부,21:00~23:59,6:00~8:59
215501,여,76,무직,9:00~11:59,이용하지 않음
215601,남,63,무직,9:00~11:59,9:00~11:59
216302,남,73,무직,9:00~11:59,9:00~11:59
216602,남,26,무직,21:00~23:59,21:00~23:59
217002,남,17,학생,21:00~23:59,21:00~23:59
218002,남,39,생산직,18:00~20:59,18:00~20:59
218103,남,34,생산직,18:00~20:59,18:00~20:59
218702,여,54,주부,9:00~11:59,15:00~17:59
218902,남,51,사무직,18:00~20:59,12:00~14:59
219002,남,47,무직,15:00~17:59,9:00~11:59
219003,여,19,학생,12:00~14:59,12:00~14:59
219201,남,51,생산직,18:00~20:59,18:00~20:59
219202,여,46,서비스/판매직,21:00~23:59,18:00~20:59
220603,여,19,학생,21:00~23:59,21:00~23:59
222602,여,67,서비스/판매직,15:00~17:59,이용하지 않음
222701,여,38,서비스/판매직,9:00~11:59,이용하지 않음
222901,여,31,주부,9:00~11:59,이용하지 않음
222902,남,33,사무직,21:00~23:59,18:00~20:59
223003,여,36,사무직,15:00~17:59,12:00~14:59
223101,여,47,서비스/판매직,12:00~14:59,이용하지 않음
223102,남,21,학생,9:00~11:59,21:00~23:59
223201,남,54,생산직,21:00~23:59,15:00~17:59
223203,남,25,사무직,18:00~20:59,15:00~17:59
223204,여,23,사무직,21:00~23:59,18:00~20:59
223401,여,31,사무직,21:00~23:59,15:00~17:59
223502,여,28,사무직,12:00~14:59,이용하지 않음
223701,여,35,주부,15:00~17:59,18:00~20:59
223801,남,45,서비스/판매직,15:00~17:59,12:00~14:59
224201,남,57,생산직,21:00~23:59,21:00~23:59
224301,남,83,무직,21:00~23:59,21:00~23:59
224401,여,53,주부,12:00~14:59,12:00~14:59
224402,남,20,무직,18:00~20:59,18:00~20:59
224403,남,25,무직,18:00~20:59,18:00~20:59
224701,남,45,사무직,21:00~23:59,21:00~23:59
224702,여,38,사무직,18:00~20:59,18:00~20:59
224703,여,13,학생,15:00~17:59,15:00~17:59
224801,여,40,주부,21:00~23:59,21:00~23:59
224901,여,31,서비스/판매직,21:00~23:59,21:00~23:59
225001,여,36,사무직,21:00~23:59,21:00~23:59
225101,남,37,사무직,18:00~20:59,18:00~20:59
225102,여,31,사무직,18:00~20:59,18:00~20:59
225201,여,43,사무직,12:00~14:59,12:00~14:59
225301,남,38,생산직,15:00~17:59,15:00~17:59
225501,여,51,주부,12:00~14:59,12:00~14:59
225502,남,50,서비스/판매직,15:00~17:59,15:00~17:59
225901,남,46,생산직,12:00~14:59,12:00~14:59
226001,여,30,주부,21:00~23:59,21:00~23:59
226101,남,43,사무직,15:00~17:59,15:00~17:59
226201,여,43,사무직,이용하지 않음,21:00~23:59
226301,여,36,주부,15:00~17:59,15:00~17:59
226601,남,23,사무직,15:00~17:59,15:00~17:59
227001,남,60,서비스/판매직,15:00~17:59,15:00~17:59
227101,여,38,주부,15:00~17:59,15:00~17:59
227301,남,35,사무직,21:00~23:59,21:00~23:59
227302,여,36,사무직,21:00~23:59,21:00~23:59
227701,남,72,서비스/판매직,15:00~17:59,15:00~17:59
228101,여,44,서비스/판매직,9:00~11:59,18:00~20:59
228301,여,38,주부,18:00~20:59,18:00~20:59
228602,남,27,무직,18:00~20:59,18:00~20:59
228701,남,36,생산직,18:00~20:59,12:00~14:59
228801,남,27,사무직,21:00~23:59,12:00~14:59
229001,여,34,주부,12:00~14:59,12:00~14:59
229002,남,37,생산직,이용하지 않음,15:00~17:59
229301,남,59,생산직,18:00~20:59,15:00~17:59
229601,여,69,서비스/판매직,21:00~23:59,21:00~23:59
229801,여,29,사무직,21:00~23:59,21:00~23:59
229901,여,38,주부,15:00~17:59,15:00~17:59
230101,남,30,사무직,21:00~23:59,15:00~17:59
230102,여,28,사무직,15:00~17:59,15:00~17:59
230201,여,39,사무직,15:00~17:59,15:00~17:59
230202,남,39,사무직,21:00~23:59,21:00~23:59
231301,여,55,생산직,12:00~14:59,15:00~17:59
231401,여,70,생산직,15:00~17:59,15:00~17:59
231501,남,38,서비스/판매직,15:00~17:59,15:00~17:59
231703,남,44,무직,15:00~17:59,15:00~17:59
231801,여,34,주부,18:00~20:59,18:00~20:59
231802,남,35,사무직,21:00~23:59,21:00~23:59
232001,여,52,주부,12:00~14:59,12:00~14:59
232003,남,23,학생,21:00~23:59,21:00~23:59
232101,여,39,주부,15:00~17:59,15:00~17:59
232502,남,15,학생,15:00~17:59,15:00~17:59
232701,여,31,무직,이용하지 않음,21:00~23:59
232801,여,46,주부,15:00~17:59,15:00~17:59
232901,남,37,무직,21:00~23:59,21:00~23:59
233001,남,44,생산직,15:00~17:59,15:00~17:59
233401,여,69,무직,12:00~14:59,15:00~17:59
233501,여,67,주부,21:00~23:59,21:00~23:59
233701,남,41,사무직,15:00~17:59,21:00~23:59
233802,남,70,서비스/판매직,21:00~23:59,21:00~23:59
234001,남,31,사무직,21:00~23:59,이용하지 않음
234601,여,70,주부,15:00~17:59,12:00~14:59
234801,여,71,주부,15:00~17:59,12:00~14:59
235001,남,38,서비스/판매직,12:00~14:59,15:00~17:59
235301,여,56,사무직,15:00~17:59,12:00~14:59
235402,여,30,사무직,18:00~20:59,15:00~17:59
235501,여,35,주부,9:00~11:59,이용하지 않음
235601,여,55,생산직,15:00~17:59,15:00~17:59
235701,남,40,사무직,12:00~14:59,12:00~14:59
235801,여,22,무직,18:00~20:59,12:00~14:59
235901,여,39,주부,12:00~14:59,12:00~14:59
236001,여,46,주부,15:00~17:59,12:00~14:59
236301,여,72,주부,12:00~14:59,9:00~11:59
236401,여,58,주부,18:00~20:59,18:00~20:59
236402,여,32,무직,12:00~14:59,15:00~17:59
236501,여,66,무직,12:00~14:59,18:00~20:59
236801,여,67,무직,12:00~14:59,18:00~20:59
236901,남,52,사무직,18:00~20:59,18:00~20:59
237301,여,54,주부,12:00~14:59,18:00~20:59
237302,남,55,사무직,21:00~23:59,12:00~14:59
237501,남,46,서비스/판매직,12:00~14:59,12:00~14:59
237701,남,44,사무직,18:00~20:59,18:00~20:59
237801,여,42,서비스/판매직,21:00~23:59,18:00~20:59
237901,여,46,사무직,18:00~20:59,12:00~14:59
238001,여,48,사무직,18:00~20:59,21:00~23:59
238002,남,18,학생,21:00~23:59,24:00~5:59
238301,여,39,사무직,18:00~20:59,18:00~20:59
238401,남,49,서비스/판매직,12:00~14:59,18:00~20:59
238501,여,49,사무직,18:00~20:59,이용하지 않음
238601,여,56,주부,21:00~23:59,15:00~17:59
238701,남,77,서비스/판매직,18:00~20:59,18:00~20:59
238802,여,78,주부,12:00~14:59,12:00~14:59
238901,남,71,무직,18:00~20:59,이용하지 않음
238902,여,67,주부,9:00~11:59,이용하지 않음
239001,남,60,사무직,21:00~23:59,21:00~23:59
239002,여,56,사무직,18:00~20:59,이용하지 않음
239101,남,41,생산직,21:00~23:59,21:00~23:59
239102,여,40,주부,12:00~14:59,이용하지 않음
239201,여,52,사무직,21:00~23:59,이용하지 않음
239202,남,57,생산직,21:00~23:59,15:00~17:59
239301,남,35,서비스/판매직,21:00~23:59,21:00~23:59
239401,남,27,사무직,21:00~23:59,18:00~20:59
239402,남,28,사무직,21:00~23:59,이용하지 않음
239502,남,29,서비스/판매직,21:00~23:59,15:00~17:59
239601,남,65,생산직,15:00~17:59,15:00~17:59
239602,여,60,주부,12:00~14:59,이용하지 않음
239701,여,35,주부,이용하지 않음,15:00~17:59
239901,여,58,사무직,18:00~20:59,이용하지 않음
240201,남,70,무직,12:00~14:59,21:00~23:59
240202,여,67,주부,9:00~11:59,이용하지 않음
240301,남,50,생산직,이용하지 않음,21:00~23:59
240401,남,64,사무직,12:00~14:59,이용하지 않음
240601,여,49,서비스/판매직,21:00~23:59,12:00~14:59
240602,남,15,학생,이용하지 않음,24:00~5:59
240701,여,47,주부,12:00~14:59,이용하지 않음
240901,여,57,서비스/판매직,18:00~20:59,이용하지 않음
240902,남,20,학생,12:00~14:59,21:00~23:59
241001,남,57,생산직,21:00~23:59,이용하지 않음
241002,여,28,사무직,21:00~23:59,21:00~23:59
241101,여,60,주부,21:00~23:59,21:00~23:59
241201,여,40,주부,18:00~20:59,이용하지 않음
241301,남,55,생산직,15:00~17:59,이용하지 않음
241401,여,44,주부,15:00~17:59,15:00~17:59
241501,여,57,주부,9:00~11:59,이용하지 않음
241601,남,66,무직,12:00~14:59,이용하지 않음
241701,남,60,무직,18:00~20:59,21:00~23:59
241802,남,21,학생,이용하지 않음,12:00~14:59
241901,남,33,사무직,21:00~23:59,이용하지 않음
241902,여,24,사무직,15:00~17:59,15:00~17:59
242001,여,38,사무직,이용하지 않음,21:00~23:59
242201,여,32,주부,12:00~14:59,이용하지 않음
242301,남,33,사무직,24:00~5:59,24:00~5:59
242401,여,36,사무직,21:00~23:59,15:00~17:59
242601,남,56,사무직,이용하지 않음,15:00~17:59
242701,남,49,서비스/판매직,21:00~23:59,이용하지 않음
242801,남,58,생산직,21:00~23:59,이용하지 않음
242901,남,62,생산직,21:00~23:59,21:00~23:59
243001,여,80,주부,15:00~17:59,이용하지 않음
