code,korean_title,english_title,genre_list,country,released_date,director,actors
179875,비스트,thebeast,"['범죄', '스릴러']",['한국'], 2019.06.26,이정호,"['이성민(정한수)', ' 유재명(한민태)', ' 전혜진(춘배)더보기']"
198754,힐빌리의 노래,hillbillyelegy,['드라마'],['미국'], 2020.11.24,론 하워드,"['에이미 아담스(베브)', ' 글렌 클로즈(할머니)', ' 가브리엘 바쏘(J.D 밴스)더보기']"
181704,로켓맨,rocketman,"['드라마', '판타지']","['영국', '미국']", 2019.06.05,덱스터 플레처,['태런 에저튼(엘튼 존)더보기']
199876,자기 앞의 생,thelifeahead,['드라마'],['이탈리아'],,에도아르도 폰티,"['소피아 로렌(마담 로사)', ' 이브라히마 게예(모모)', ' 레나토 카펜티에리(코엔)더보기']"
199865,징글 쟁글: 저니의 크리스마스,jinglejangleachristmasjourney,"['가족', '뮤지컬']",['미국'], 2020.11.13,데이빗 E. 탤버트,"['포레스트 휘태커', ' 키건 마이클 키', ' 휴 보네빌더보기']"
193570,스폰지밥 무비: 핑핑이 구출 대작전,thespongebobmoviespongeontherun,"['애니메이션', '코미디']",['미국'],,팀 힐,"['톰 케니', ' 빌 페이거바케', ' 로저 범패스더보기']"
192152,더 시크릿: 데어 투 드림,thesecretdaretodream,"['드라마', '멜로/로맨스']",['미국'],,앤디 테넌트,"['케이티 홈즈', ' 조쉬 루카스더보기']"
11547,장미의 전쟁,thewaroftheroses,"['코미디', '드라마']",['미국'], 1990.09.29,대니 드비토,"['마이클 더글라스(올리버 로즈)', ' 캐슬린 터너(바바라 로즈)', ' 대니 드비토(게비오 다마토)더보기']"
167495,제이 앤 사일런트 밥 리부트,jayandsilentbobreboot,['코미디'],['미국'],,케빈 스미스,"['케빈 스미스', ' 제이슨 미웨스', ' 브라이언 오할로런더보기']"
188471,해리엇,harriet,['드라마'],['미국'],,카시 레몬즈,"['신시아 에리보(해리엇/민티)', ' 자넬 모네', ' 레슬리 오덤 주니어(윌리엄 스틸)더보기']"
159866,닥터 두리틀,dolittle,"['코미디', '가족', '판타지']",['미국'], 2020.01.08,스티븐 개건,['로버트 다우니 주니어(닥터 두리틀)더보기']
185933,캣츠,cats,"['뮤지컬', '드라마']","['미국', '영국']", 2019.12.24,톰 후퍼,"['제니퍼 허드슨(그리자벨라)', ' 테일러 스위프트(봄발루리나)', ' 이드리스 엘바(맥캐버티)더보기']"
202609,마이 크리스마스 인,mychristmasinn,"['코미디', '드라마', '멜로/로맨스']",['미국'],,피터 설리반,"['티아 모우리', ' 롭 마이에스더보기']"
191998,그 남자의 집,hishouse,['스릴러'],['영국'],,레미 위크스,"['솝 디라이수', ' 운미 모사쿠더보기']"
199428,홀리데이트,holidate,"['코미디', '멜로/로맨스']",['미국'],,존 화이트셀,"['엠마 로버츠', ' 루크 브레이시더보기']"
195105,오버 더 문,overthemoon,"['모험', '애니메이션', '가족']",['미국'], 2020.10.23,글렌 킨,"['캐시 앵(페이 페이 목소리)', ' 존 조(아빠 목소리)', ' 산드라 오(종 부인 목소리)더보기']"
207762,살육 호텔,cadaver,"['드라마', '공포', '스릴러']",['노르웨이'],,자랑 헤르달,['지트 위트더보기']
189357,레베카,rebecca,"['드라마', '미스터리', '멜로/로맨스']",['미국'], 2020.10.21,벤 휘틀리,"['릴리 제임스', ' 아미 해머더보기']"
159167,벤딩 디 아크: 세상을 바꾸는 힘,bendingthearc,['다큐멘터리'],['미국'], 2017.11.09,"키프 데이비슨, 페드로 코스","['폴 파머(본인)', ' 김용(본인)', ' 오필리아 달(본인)더보기']"
192624,트라이얼 오브 더 시카고 7,thetrialofthechicago7,"['드라마', '스릴러']",['미국'], 2020.10.16,아론 소킨,"['야히아 압둘 마틴 2세(보비 실)', ' 조셉 고든 레빗(리차드 슐츠)', ' 제레미 스트롱(제리 루빈)더보기']"
198414,블랙핑크: 세상을 밝혀라,blackpinklightupthesky,['다큐멘터리'],['미국'],,캐롤라인 서,['블랙핑크더보기']
