old_index,title,release_date,series_or_movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image,korean_title,english_title,num_of_netizen
10851,Furious 7,2015-04-03,Movie,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,furious7,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbhe9BxALGRaCXWjEXr2D-1Vg8oHvNyP1pmXCJjQWwb2PNvY5xrscETISAFlju0D7fQ9myQE4xA1QhcXi46yvulZgg.jpg?r=6f4,분노의 질주: 더 세븐,furious7,9473
10872,오늘의 연애,2015-01-14,Movie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,오늘의연애,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW7nrR2gheBw4JQrNayTJ1cCgEHDXds2EMQEkMm2DNMw325WZ_9kWS-YiTVQMX8cP8LL4YVRg7C58fyD21iuIvfr-Q.jpg?r=7f3,오늘의 연애,오늘의연애,9245
10990,Punch,2011-10-20,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,punch,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRT19k1XiUUTuDg3vwkqfd17CTpgz6sDTxFohxuj9iNyNogBtz2Yx-Fb3-AU9txGZ2dcYYhJBgVTbQBk1qdo0nN6tg.jpg?r=125,완득이,punch,9711
11019,The Revenant,2016-01-08,Movie,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,therevenant,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRHLS2jKzMJWry71BT-_wJhOealU1UIigfVolF6pB932meMcAGZzZAlRhDON9HAZl1z8zorzv_2AdrYWckNlPMuc5A.jpg?r=67d,레버넌트: 죽음에서 돌아온 자,therevenant,10088
11043,Tazza  The Hidden Card,2014-09-03,Movie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tazzathehiddencard,https://occ-0-1168-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTupsVbdGBK4kr_U660mezSkhENj_N7exyqW2EsthcLdeKaM1oQOGnr79N0xH_UKRknKlO30b75UaA5Jz1HYHLVJyQ.jpg?r=c33,타짜-신의 손,tazzathehiddencard,15986
11051,The Terror Live,2013-07-31,Movie,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theterrorlive,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV_Hvfv-n8CIiBoEYJac1pN0g_uibvpoJMKNtjrkExdtpSAH86vsGgFUscad25x_WhoXqt-HcObx2l-VZHMHwfFcfg.jpg?r=9a1,더 테러 라이브,theterrorlive,17302
11117,The Intern,2015-09-25,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theintern,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcMYOlubvw2ZnOQJdF14cLCmG3_T6wjzG9kCdK9sefD6bBGJs3uXlERCjJhGSev480RzlmLvsL3xA4GGv9aZdbb8rw.jpg?r=716,인턴,theintern,14433
11129,Friend  The Great Legacy,2013-12-13,Movie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friendthegreatlegacy,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAYsj_05YxTRFZNVLWWYi_6eC-dH0arPS7yfzgkYHKF9moiaeDQwG5l56zy9ApsXlG5FVtZhQqRIl1xLmni2zsHhAqQ.jpg?r=c60,친구2,friendthegreatlegacy,7582
11282,The Martian,2015-10-02,Movie,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,themartian,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcBS_i3sFBLAlqQD9tbbbOybiC6rIeErOMeHg74Tb_AoKzkRXEHQxB9kWZWaVInIa-efHhnKKbWYU_8zneF6W6sCgg.jpg?r=354,마션,themartian,15702
11338,Mission  Impossible 5,2015-07-31,Movie,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,missionimpossible5,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfxgOgqM2FDJdC6mqZ_yFwLfoS9LfQ0kQrXpql-5nurDKheaOivVUdaSa4I8WzFVYSdh5_0XC3ac-PacoJ-GhFxRfg.jpg?r=e72,미션 임파서블: 로그네이션,missionimpossible5,14562
11463,Terminator Genisys,2015-07-01,Movie,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,terminatorgenisys,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABezSEqYoEFcsETDTW7Gs8klGFTK_y8_LN9N1O8MM7fQS-OLkZIKw-rdE7B7q2AmYSBCSu2rSWjDt6JcnnAPrLMi44A.jpg?r=684,터미네이터 제니시스,terminatorgenisys,9484
11502,Spy,2015-06-05,Movie,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spy,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZxCI6hvyOlzsdGzbrn6kmUzo2dRr9Pc2t5nUg7DDCDtxyEambDr4nt6tkszQ3uFXiH_b2xW8vCt_uFWEnUWlwzYUA.jpg?r=d92,스파이,spy,9103
