code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages,scores_per_age_genders,num_per_ages_genders,scores_per_ages
167651,극한직업,15986.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.16,9.24,"[9.42, 9.32, 9.22, 9.09, 8.82]","[45, 55]","[2, 38, 30, 21, 8]","[4.24, 5.18, 4.19, 5.13, 4.15, 5.07, 4.09, 5.0, 3.97, 4.85]","[0.9, 1.1, 17.1, 20.9, 13.5, 16.5, 9.45, 11.55, 3.6, 4.4]","[0.19, 3.58, 2.83, 1.98, 0.75, 0.19, 3.54, 2.8, 1.96, 0.75, 0.18, 3.5, 2.77, 1.94, 0.74, 0.18, 3.45, 2.73, 1.91, 0.73, 0.18, 3.35, 2.65, 1.85, 0.71]"
164192,국가부도의 날,2927.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.57,8.88,"[9.19, 8.93, 8.61, 8.4, 8.06]","[55, 45]","[2, 50, 26, 15, 7]","[5.05, 4.14, 4.91, 4.02, 4.74, 3.87, 4.62, 3.78, 4.43, 3.63]","[1.1, 0.9, 27.5, 22.5, 14.3, 11.7, 8.25, 6.75, 3.85, 3.15]","[0.18, 4.59, 2.39, 1.38, 0.64, 0.18, 4.46, 2.32, 1.34, 0.63, 0.17, 4.3, 2.24, 1.29, 0.6, 0.17, 4.2, 2.18, 1.26, 0.59, 0.16, 4.03, 2.1, 1.21, 0.56]"
171744,팩트 살인,,,,,[],[],[],[],[],[]
143422,소통과 거짓말,4.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,7.0,9.0,"[8.0, 8.0, 10.0, 0.0, 0.0]","[25, 75]","[25, 50, 25, 0, 0]","[2.0, 6.0, 2.0, 6.0, 2.5, 7.5, 0.0, 0.0, 0.0, 0.0]","[6.25, 18.75, 12.5, 37.5, 6.25, 18.75, 0.0, 0.0, 0.0, 0.0]","[2.0, 4.0, 2.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 2.5, 5.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
130811,클로버,4.0,이 영화는 20대 여성이 좋아하는 OST가 뛰어난 영화입니다.,0.0,8.5,"[10.0, 10.0, 0.0, 4.0, 0.0]","[100, 9]","[50, 25, 0, 25, 0]","[10.0, 0.9, 10.0, 0.9, 0.0, 0.0, 4.0, 0.36, 0.0, 0.0]","[50.0, 4.5, 25.0, 2.25, 0.0, 0.0, 25.0, 2.25, 0.0, 0.0]","[5.0, 2.5, 0.0, 2.5, 0.0, 5.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
195980,대인물,,,,,[],[],[],[],[],[]
168749,죄 많은 소녀,174.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.19,8.48,"[8.24, 8.42, 8.16, 8.43, 9.33]","[41, 59]","[10, 63, 21, 4, 2]","[3.38, 4.86, 3.45, 4.97, 3.35, 4.81, 3.46, 4.97, 3.83, 5.5]","[4.1, 5.9, 25.83, 37.17, 8.61, 12.39, 1.64, 2.36, 0.82, 1.18]","[0.82, 5.19, 1.73, 0.33, 0.16, 0.84, 5.3, 1.77, 0.34, 0.17, 0.82, 5.14, 1.71, 0.33, 0.16, 0.84, 5.31, 1.77, 0.34, 0.17, 0.93, 5.88, 1.96, 0.37, 0.19]"
142210,역모 - 반란의 시대,18.0,이 영화는 20대 여성이 좋아하는 연출이 뛰어난 영화입니다.,5.67,7.17,"[0.0, 5.71, 6.67, 7.0, 8.33]","[33, 67]","[0, 39, 17, 28, 17]","[0.0, 0.0, 1.88, 3.83, 2.2, 4.47, 2.31, 4.69, 2.75, 5.58]","[0.0, 0.0, 12.87, 26.13, 5.61, 11.39, 9.24, 18.76, 5.61, 11.39]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.23, 0.97, 1.6, 0.97, 0.0, 2.6, 1.13, 1.87, 1.13, 0.0, 2.73, 1.19, 1.96, 1.19, 0.0, 3.25, 1.42, 2.33, 1.42]"
159892,탐정: 리턴즈,3681.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.94,9.03,"[9.41, 9.14, 8.84, 8.78, 8.75]","[44, 56]","[3, 51, 24, 16, 6]","[4.14, 5.27, 4.02, 5.12, 3.89, 4.95, 3.86, 4.92, 3.85, 4.9]","[1.32, 1.68, 22.44, 28.56, 10.56, 13.44, 7.04, 8.96, 2.64, 3.36]","[0.28, 4.8, 2.26, 1.51, 0.56, 0.27, 4.66, 2.19, 1.46, 0.55, 0.27, 4.51, 2.12, 1.41, 0.53, 0.26, 4.48, 2.11, 1.4, 0.53, 0.26, 4.46, 2.1, 1.4, 0.53]"
164150,12피트,1.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,0.0,2.0,"[0.0, 0.0, 0.0, 2.0, 0.0]","[100, 19]","[0, 0, 0, 100, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.38, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 19.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
158191,1987,10178.0,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.25,9.38,"[9.45, 9.28, 9.3, 9.39, 9.3]","[50, 50]","[4, 44, 26, 18, 7]","[4.72, 4.72, 4.64, 4.64, 4.65, 4.65, 4.7, 4.7, 4.65, 4.65]","[2.0, 2.0, 22.0, 22.0, 13.0, 13.0, 9.0, 9.0, 3.5, 3.5]","[0.38, 4.16, 2.46, 1.7, 0.66, 0.37, 4.08, 2.41, 1.67, 0.65, 0.37, 4.09, 2.42, 1.67, 0.65, 0.38, 4.13, 2.44, 1.69, 0.66, 0.37, 4.09, 2.42, 1.67, 0.65]"
194581,엔터 더 팻 드래곤,,,,,[],[],[],[],[],[]
142255,걸 온 더 트레인,81.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.92,7.76,"[8.0, 7.28, 7.38, 7.5, 7.8]","[44, 56]","[1, 48, 30, 15, 6]","[3.52, 4.48, 3.2, 4.08, 3.25, 4.13, 3.3, 4.2, 3.43, 4.37]","[0.44, 0.56, 21.12, 26.88, 13.2, 16.8, 6.6, 8.4, 2.64, 3.36]","[0.08, 3.84, 2.4, 1.2, 0.48, 0.07, 3.49, 2.18, 1.09, 0.44, 0.07, 3.54, 2.21, 1.11, 0.44, 0.07, 3.6, 2.25, 1.12, 0.45, 0.08, 3.74, 2.34, 1.17, 0.47]"
199262,클래스메이트 마이너스,,,,,[],[],[],[],[],[]
194416,맨슨 패밀리,,,,,[],[],[],[],[],[]
190313,황비홍 - 왕의 귀환,,,,,[],[],[],[],[],[]
179338,10년,1.0,이 영화는 40대 여성이 좋아하는 연출이 뛰어난 영화입니다.,0.0,9.0,"[0.0, 0.0, 0.0, 9.0, 0.0]","[100, 30]","[0, 0, 0, 100, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 2.7, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 30.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
190244,러브 앳,3.0,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,0.0,10.0,"[0.0, 10.0, 10.0, 0.0, 0.0]","[100, 19]","[0, 67, 33, 0, 0]","[0.0, 0.0, 10.0, 1.9, 10.0, 1.9, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 67.0, 12.73, 33.0, 6.27, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.7, 3.3, 0.0, 0.0, 0.0, 6.7, 3.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
193100,리버레이션: 천진 대전투,,,,,[],[],[],[],[],[]
190341,황비홍 - 전설의 묵룡도를 찾아서,,,,,[],[],[],[],[],[]
177332,쁘띠 아만다,6.0,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.0,8.5,"[0.0, 9.0, 8.5, 0.0, 8.5]","[33, 67]","[0, 33, 33, 0, 33]","[0.0, 0.0, 2.97, 6.03, 2.81, 5.7, 0.0, 0.0, 2.81, 5.7]","[0.0, 0.0, 10.89, 22.11, 10.89, 22.11, 0.0, 0.0, 10.89, 22.11]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.97, 2.97, 0.0, 2.97, 0.0, 2.81, 2.81, 0.0, 2.81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.81, 2.81, 0.0, 2.81]"
188765,문신을 한 신부님,11.0,이 영화는 40대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.43,8.0,"[8.0, 8.0, 8.8, 7.0, 10.0]","[64, 36]","[9, 9, 45, 27, 9]","[5.12, 2.88, 5.12, 2.88, 5.63, 3.17, 4.48, 2.52, 6.4, 3.6]","[5.76, 3.24, 5.76, 3.24, 28.8, 16.2, 17.28, 9.72, 5.76, 3.24]","[0.72, 0.72, 3.6, 2.16, 0.72, 0.72, 0.72, 3.6, 2.16, 0.72, 0.79, 0.79, 3.96, 2.38, 0.79, 0.63, 0.63, 3.15, 1.89, 0.63, 0.9, 0.9, 4.5, 2.7, 0.9]"
190723,더 포토그래프,,,,,[],[],[],[],[],[]
182348,로망,83.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.83,9.08,"[9.33, 9.31, 8.89, 8.8, 8.2]","[42, 58]","[4, 39, 34, 12, 12]","[3.92, 5.41, 3.91, 5.4, 3.73, 5.16, 3.7, 5.1, 3.44, 4.76]","[1.68, 2.32, 16.38, 22.62, 14.28, 19.72, 5.04, 6.96, 5.04, 6.96]","[0.37, 3.64, 3.17, 1.12, 1.12, 0.37, 3.63, 3.17, 1.12, 1.12, 0.36, 3.47, 3.02, 1.07, 1.07, 0.35, 3.43, 2.99, 1.06, 1.06, 0.33, 3.2, 2.79, 0.98, 0.98]"
194398,판타스틱 썸머,,,,,[],[],[],[],[],[]
181114,날씨의 아이,789.0,이 영화는 20대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,8.5,8.11,"[8.91, 8.42, 7.9, 8.2, 8.55]","[70, 30]","[14, 55, 18, 9, 4]","[6.24, 2.67, 5.89, 2.53, 5.53, 2.37, 5.74, 2.46, 5.99, 2.56]","[9.8, 4.2, 38.5, 16.5, 12.6, 5.4, 6.3, 2.7, 2.8, 1.2]","[1.25, 4.9, 1.6, 0.8, 0.36, 1.18, 4.63, 1.52, 0.76, 0.34, 1.11, 4.34, 1.42, 0.71, 0.32, 1.15, 4.51, 1.48, 0.74, 0.33, 1.2, 4.7, 1.54, 0.77, 0.34]"
183854,죽지않는 인간들의 밤,179.0,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.51,9.14,"[9.0, 9.02, 8.24, 9.14, 9.12]","[55, 45]","[1, 37, 33, 21, 9]","[4.95, 4.05, 4.96, 4.06, 4.53, 3.71, 5.03, 4.11, 5.02, 4.1]","[0.55, 0.45, 20.35, 16.65, 18.15, 14.85, 11.55, 9.45, 4.95, 4.05]","[0.09, 3.33, 2.97, 1.89, 0.81, 0.09, 3.34, 2.98, 1.89, 0.81, 0.08, 3.05, 2.72, 1.73, 0.74, 0.09, 3.38, 3.02, 1.92, 0.82, 0.09, 3.37, 3.01, 1.92, 0.82]"
191591,뉴스 오브 더 월드,,,,,[],[],[],[],[],[]
186342,승리호,,,,,[],[],[],[],[],[]
200586,맬컴과 마리,,,,,[],[],[],[],[],[]
198329,고독의 맛,,,,,[],[],[],[],[],[]
202353,음양사 : 청아집,,,,,[],[],[],[],[],[]
191633,트롤: 월드 투어,99.0,이 영화는 10대 여성이 좋아하는 OST가 뛰어난 영화입니다.,8.68,8.51,"[10.0, 8.78, 8.37, 8.55, 8.0]","[28, 72]","[4, 18, 43, 31, 3]","[2.8, 7.2, 2.46, 6.32, 2.34, 6.03, 2.39, 6.16, 2.24, 5.76]","[1.12, 2.88, 5.04, 12.96, 12.04, 30.96, 8.68, 22.32, 0.84, 2.16]","[0.4, 1.8, 4.3, 3.1, 0.3, 0.35, 1.58, 3.78, 2.72, 0.26, 0.33, 1.51, 3.6, 2.59, 0.25, 0.34, 1.54, 3.68, 2.65, 0.26, 0.32, 1.44, 3.44, 2.48, 0.24]"
200582,더 디그,,,,,[],[],[],[],[],[]
194723,더 히든,,,,,[],[],[],[],[],[]
196525,펭귄 블룸,,,,,[],[],[],[],[],[]
189141,삼진그룹 영어토익반,699.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.87,9.13,"[9.68, 9.06, 8.85, 8.95, 9.02]","[40, 60]","[6, 49, 25, 14, 6]","[3.87, 5.81, 3.62, 5.44, 3.54, 5.31, 3.58, 5.37, 3.61, 5.41]","[2.4, 3.6, 19.6, 29.4, 10.0, 15.0, 5.6, 8.4, 2.4, 3.6]","[0.58, 4.74, 2.42, 1.36, 0.58, 0.54, 4.44, 2.27, 1.27, 0.54, 0.53, 4.34, 2.21, 1.24, 0.53, 0.54, 4.39, 2.24, 1.25, 0.54, 0.54, 4.42, 2.25, 1.26, 0.54]"
