,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling
158,New Amsterdam,2018-09-25,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,newamsterdam
160,The Big Day,2005-03-18,Series,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thebigday
161,The Photograph,2020-02-14,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thephotograph
167,Capitani,2021-02-11,Series,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,capitani
168,Romang,2019-04-03,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,romang
169,SUMMER 03,1986-08-29,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,summer03
170,Weathering with You,2020-01-17,Movie,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,weatheringwithyou
171,Night of the Undead,2020-09-29,Movie,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nightoftheundead
177,News of the World,2020-12-25,Movie,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,newsoftheworld
189,Dont be the First one,2006-10-20,Series,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dontbethefirstone
190,Space Sweepers,2021-02-05,Movie,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spacesweepers
191,"Strip Down, Rise Up",2021-02-05,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,stripdownriseup
192,Malcolm & Marie,1986-11-05,Movie,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malcolmmarie
193,Little Big Women,2020-11-06,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,littlebigwomen
194,Invisible City,2009-05-02,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,invisiblecity
198,The Yin-Yang Master  Dream Of Eternity,2021-02-05,Movie,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,theyinyangmasterdreamofeternity
220,Firefly Lane,2021-02-03,Series,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fireflylane
223,Kid Cosmic,2021-02-02,Series,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kidcosmic
252,Trolls World Tour,2020-04-10,Movie,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,trollsworldtour
254,We Are  The Brooklyn Saints,2021-01-29,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,wearethebrooklynsaints
255,The Dig,2019-04-26,Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thedig
256,Below Zero,1930-04-26,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,belowzero
259,June & Kopi,2015-10-13,Movie,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,junekopi
262,You Should Have Left,2020-06-18,Movie,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youshouldhaveleft
269,Penguin Bloom,2021-01-27,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,penguinbloom
270,50M2,2021-01-27,Series,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50m2
271,Samjin Company English Class,2020-10-21,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,samjincompanyenglishclass
274,Go Dog Go,2021-01-26,Movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,godoggo
294,The Hunt,2013-01-10,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thehunt
298,Investiture of the Gods,2009-02-25,Series,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,investitureofthegods
300,The White Tiger,2021-01-22,Movie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thewhitetiger
301,Fate  The Winx Saga,2021-01-22,Series,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fatethewinxsaga
309,Spycraft,2016-11-30,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,spycraft
310,Daughter From Another Mother,2021-01-20,Series,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,daughterfromanothermother
312,The Battery,2013-06-04,Movie,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,thebattery
315,Sightless,2020-09-29,Movie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sightless
319,Ever Night,2018-10-31,Series,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evernight
330,What Would Sophia Loren Do,2021-01-15,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,whatwouldsophialorendo
331,Outside the Wire,2021-01-15,Movie,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outsidethewire
332,Double Dad,2021-01-15,Movie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,doubledad
333,Bling Empire,2021-01-15,Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,blingempire
344,Pinkfong & Baby Sharks Space Adventure,2019-03-16,Movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pinkfongbabysharksspaceadventure
345,Wish You,2013-06-07,Movie,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wishyou
347,On Happiness Road,2018-01-05,Movie,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,onhappinessroad
348,Taipei Story,,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,taipeistory
352,Night Stalker  The Hunt for a Serial Killer,2021-01-13,Series,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,nightstalkerthehuntforaserialkiller
361,"Crack  Cocaine, Corruption & Conspiracy",2021-01-11,Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,crackcocainecorruptionconspiracy
367,Lupin,1979-12-15,Series,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lupin
373,Pieces of a Woman,2021-01-07,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,piecesofawoman
379,Tony Parker  The Final Shot,2021-01-06,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,tonyparkerthefinalshot
